state_id,state_name,mandi_id,mandi_name,first_enam_trade_date
43,HIMACHAL PRADESH,5037,PMY BILASPUR,2023-03-01
696,JAMMU AND KASHMIR,3876,CHARARISHARIEF,2022-06-01
696,JAMMU AND KASHMIR,3875,ANANTNAG,2022-06-01
696,JAMMU AND KASHMIR,3877,HANDWARA,2022-06-01
696,JAMMU AND KASHMIR,3878,KATHUA,2022-06-01
696,JAMMU AND KASHMIR,1371,NARWAL,2020-05-01
696,JAMMU AND KASHMIR,1372,PARIMPORA SGR,2020-05-01
696,JAMMU AND KASHMIR,3879,KULGAM,2022-06-01
696,JAMMU AND KASHMIR,3880,PULWAMA,2022-06-01
696,JAMMU AND KASHMIR,3881,SHOPIAN,2022-06-01
696,JAMMU AND KASHMIR,3883,UDHAMPUR,2022-06-01
696,JAMMU AND KASHMIR,3882,SOPORE,2022-07-01
47,JHARKHAND,348,BOKARO,2018-10-01
47,JHARKHAND,350,CHAKULIA,2018-10-01
47,JHARKHAND,152,CHAIBASA,2020-01-01
47,JHARKHAND,354,DEOGHAR,2018-10-01
47,JHARKHAND,154,DHANBAD,2018-10-01
47,JHARKHAND,153,DALTENGANJ,2018-10-01
47,JHARKHAND,355,DUMKA,2018-10-01
47,JHARKHAND,351,GRIDIH,2018-10-01
47,JHARKHAND,349,GARHWA,2018-10-01
47,JHARKHAND,155,GUMLA,2018-10-01
47,JHARKHAND,156,JAMSHEDPUR,2018-10-01
47,JHARKHAND,353,KODERMA,2018-10-01
47,JHARKHAND,157,LOHARDAGA,2018-10-01
47,JHARKHAND,346,HAZARIBAGH,2018-10-01
47,JHARKHAND,52,PANDRA RANCHI,2018-10-01
47,JHARKHAND,352,PAKUR,2018-10-01
47,JHARKHAND,345,Ramgarh,2018-10-01
47,JHARKHAND,347,SAHEBGANJ,2019-08-01
47,JHARKHAND,159,SIMDEGA,2019-06-01
695,KARNATAKA,1368,APMC CHINCHOLI,2020-04-01
695,KARNATAKA,1366,APMC KALBURGI,2020-04-01
